{'graph name': 'second_family_q=q:sqrt(i)', 'type of base case': 'first base case with epsilon', 'p': 0.0625, 'N': 16.0, 't': 16, 'epsilon': 0.5, 'k': 1, 'nodes ranking': array([144, 362, 501, 453,  49, 343,  30,  12,  85, 182])}
{'graph name': 'second_family_q=q:sqrt(i)', 'type of base case': 'first base case with epsilon', 'p': 0.0625, 'N': 16.0, 't': 64, 'epsilon': 0.25, 'k': 0, 'nodes ranking': array([  3, 374,   1, 320, 230,  72, 107, 205, 110,  57])}
{'graph name': 'second_family_q=q:sqrt(i)', 'type of base case': 'first base case with epsilon', 'p': 0.0625, 'N': 16.0, 't': 256, 'epsilon': 0.125, 'k': 0, 'nodes ranking': array([  0,   1,   2,  28, 502,  33,   9,   7,  82,  52])}
{'graph name': 'second_family_q=q:sqrt(i)', 'type of base case': 'first base case with epsilon', 'p': 0.0625, 'N': 16.0, 't': 1024, 'epsilon': 0.0625, 'k': 1, 'nodes ranking': array([  0,   3,   1,   2,   4,   6,  23,   5, 100,  47])}
{'graph name': 'second_family_q=q:sqrt(i)', 'type of base case': 'first base case with epsilon', 'p': 0.0625, 'N': 16.0, 't': 4096, 'epsilon': 0.03125, 'k': 2, 'nodes ranking': array([ 0,  1,  2,  3,  6,  7,  5, 20,  8, 10])}
{'graph name': 'second_family_q=q:sqrt(i)', 'type of base case': 'second base case with k', 'p': 0.0625, 'N': 16.0, 't': 1024, 'k': 2, 'epsilon': 0.053013943547421734, 'nodes ranking': array([ 1,  0,  2,  3,  8, 12,  5, 28,  7, 10])}
{'graph name': 'second_family_q=q:sqrt(i)', 'type of base case': 'second base case with k', 'p': 0.0625, 'N': 16.0, 't': 16384, 'k': 4, 'epsilon': 0.012673432495507498, 'nodes ranking': array([ 0,  1,  2,  3,  4,  6,  5,  8, 10,  7])}
{'graph name': 'second_family_q=q:sqrt(i)', 'type of base case': 'first base case with epsilon', 'p': 0.03125, 'N': 32.0, 't': 16, 'epsilon': 0.5, 'k': 1, 'nodes ranking': array([  0,  10, 297, 209, 280, 273, 391,  61, 196,  12])}
{'graph name': 'second_family_q=q:sqrt(i)', 'type of base case': 'first base case with epsilon', 'p': 0.03125, 'N': 32.0, 't': 64, 'epsilon': 0.25, 'k': 0, 'nodes ranking': array([  0,  15, 375, 156,   1, 135, 289, 103, 396, 105])}
{'graph name': 'second_family_q=q:sqrt(i)', 'type of base case': 'first base case with epsilon', 'p': 0.03125, 'N': 32.0, 't': 256, 'epsilon': 0.125, 'k': 1, 'nodes ranking': array([  0,  80,   1,   5,   6, 163, 167,  57,  81,  25])}
{'graph name': 'second_family_q=q:sqrt(i)', 'type of base case': 'first base case with epsilon', 'p': 0.03125, 'N': 32.0, 't': 1024, 'epsilon': 0.0625, 'k': 1, 'nodes ranking': array([ 0,  2,  1, 22,  6,  3,  4,  9,  5, 19])}
{'graph name': 'second_family_q=q:sqrt(i)', 'type of base case': 'first base case with epsilon', 'p': 0.03125, 'N': 32.0, 't': 4096, 'epsilon': 0.03125, 'k': 0, 'nodes ranking': array([ 0,  1,  2,  3,  6,  9, 14, 12,  4,  8])}
{'graph name': 'second_family_q=q:sqrt(i)', 'type of base case': 'second base case with k', 'p': 0.03125, 'N': 32.0, 't': 32768, 'k': 2, 'epsilon': 0.009190453648193956, 'nodes ranking': array([ 0,  1,  2,  3,  4,  6,  5,  9,  8, 10])}
{'graph name': 'second_family_q=q:sqrt(i)', 'type of base case': 'second base case with k', 'p': 0.03125, 'N': 32.0, 't': 32768, 'k': 4, 'epsilon': 0.009398076346189582, 'nodes ranking': array([ 0,  1,  2,  3,  4, 10,  6,  5,  7, 13])}
